date,#taxi,#Taxi,#logo,#design,#uberlogo,#SuperBowl50,#SB50,#Paris
2016-01-26 13:00,14.0,0.0,0.0,0.0,0.0,8.0,8.0,92.0
2016-01-26 14:00,43.0,14.0,0.0,0.0,0.0,21.0,21.0,66.0
2016-01-26 15:00,36.0,1.0,0.0,0.0,0.0,24.0,25.0,126.0
2016-01-26 16:00,43.0,4.0,0.0,0.0,0.0,21.0,22.0,49.0
2016-01-26 17:00,36.0,4.0,0.0,0.0,0.0,24.0,24.0,18.0
2016-01-26 18:00,30.0,2.0,0.0,0.0,0.0,24.0,22.0,17.0
2016-01-26 19:00,38.0,1.0,0.0,0.0,0.0,24.0,24.0,22.0
2016-01-26 20:00,38.0,1.0,0.0,0.0,0.0,21.0,21.0,4.0
2016-01-26 21:00,49.0,0.0,0.0,0.0,0.0,24.0,24.0,12.0
2016-01-26 22:00,26.0,1.0,0.0,0.0,0.0,21.0,21.0,8.0
2016-01-26 23:00,32.0,3.0,0.0,0.0,0.0,24.0,24.0,99.0
2016-01-27 00:00,25.0,4.0,0.0,0.0,0.0,21.0,21.0,54.0
2016-01-27 01:00,26.0,0.0,0.0,0.0,0.0,24.0,24.0,17.0
2016-01-27 02:00,22.0,0.0,0.0,0.0,0.0,21.0,21.0,6.0
2016-01-27 03:00,27.0,0.0,0.0,0.0,0.0,25.0,28.0,7.0
2016-01-27 04:00,23.0,0.0,0.0,0.0,0.0,24.0,24.0,4.0
2016-01-27 05:00,24.0,1.0,0.0,0.0,0.0,22.0,22.0,2.0
2016-01-27 06:00,26.0,3.0,0.0,0.0,0.0,23.0,23.0,3.0
2016-01-27 07:00,41.0,1.0,0.0,0.0,0.0,22.0,22.0,2.0
2016-01-27 08:00,35.0,4.0,0.0,0.0,0.0,23.0,23.0,5.0
2016-01-27 09:00,25.0,0.0,0.0,0.0,0.0,22.0,22.0,6.0
2016-01-27 10:00,29.0,0.0,0.0,0.0,0.0,23.0,23.0,7.0
2016-01-27 11:00,31.0,8.0,0.0,0.0,0.0,21.0,21.0,6.0
2016-01-27 12:00,27.0,2.0,0.0,0.0,0.0,24.0,24.0,6.0
2016-01-27 13:00,30.0,1.0,0.0,0.0,0.0,24.0,21.0,6.0
2016-01-27 14:00,28.0,5.0,0.0,0.0,0.0,24.0,24.0,4.0
2016-01-27 15:00,26.0,8.0,0.0,0.0,0.0,21.0,21.0,3.0
2016-01-27 16:00,35.0,4.0,0.0,0.0,0.0,24.0,24.0,1.0
2016-01-27 17:00,19.0,0.0,0.0,1.0,0.0,15.0,15.0,4.0
2016-01-27 18:00,19.0,1.0,0.0,0.0,0.0,17.0,18.0,1.0
2016-01-27 19:00,18.0,0.0,0.0,0.0,0.0,14.0,14.0,1.0
2016-01-27 20:00,24.0,1.0,0.0,0.0,0.0,16.0,16.0,10.0
2016-01-27 21:00,17.0,0.0,0.0,1.0,0.0,14.0,14.0,0.0
2016-01-27 22:00,18.0,1.0,0.0,0.0,0.0,16.0,16.0,0.0
2016-01-27 23:00,16.0,4.0,0.0,0.0,0.0,14.0,14.0,1.0
2016-01-28 00:00,25.0,1.0,0.0,0.0,0.0,16.0,16.0,0.0
2016-01-28 01:00,17.0,0.0,0.0,0.0,0.0,14.0,14.0,1.0
2016-01-28 02:00,16.0,2.0,0.0,0.0,0.0,16.0,16.0,4.0
2016-01-28 03:00,15.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0
2016-01-28 04:00,19.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0
2016-01-28 05:00,15.0,1.0,0.0,0.0,0.0,15.0,21.0,3.0
2016-01-28 06:00,16.0,1.0,0.0,0.0,0.0,16.0,17.0,0.0
2016-01-28 07:00,15.0,1.0,0.0,0.0,0.0,14.0,15.0,0.0
2016-01-28 08:00,17.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0
2016-01-28 09:00,16.0,8.0,0.0,0.0,0.0,16.0,15.0,1.0
2016-01-28 10:00,16.0,9.0,0.0,0.0,0.0,16.0,17.0,0.0
